iter	Passed	Remaining
891	85206	10316
892	85390	10231
893	85489	10136
894	85563	10038
895	85663	9943
896	85758	9847
897	85869	9753
898	85980	9659
899	86074	9563
900	86165	9467
901	86255	9371
902	86383	9279
903	86552	9191
904	86639	9094
905	86726	8998
906	86804	8900
907	86894	8804
908	86974	8707
909	87076	8611
910	87167	8515
911	87254	8419
912	87338	8322
913	87417	8225
914	87537	8131
915	87690	8041
916	87778	7945
917	87858	7847
918	87939	7750
919	88023	7654
920	88108	7557
921	88215	7462
922	88292	7365
923	88381	7269
924	88463	7172
925	88545	7076
926	88665	6982
927	88751	6885
928	88834	6789
929	88917	6692
930	89001	6596
931	89083	6499
932	89200	6405
933	89310	6311
934	89384	6213
935	89464	6117
936	89544	6020
937	89617	5923
938	89702	5827
939	89785	5730
940	89883	5635
941	89958	5538
942	90038	5442
943	90117	5345
944	90213	5250
945	90393	5159
946	90535	5066
947	90639	4971
948	90739	4876
949	90851	4781
950	90971	4687
951	91083	4592
952	91187	4497
953	91283	4401
954	91389	4306
955	91511	4211
956	91717	4121
957	91822	4025
958	91911	3929
959	91995	3833
960	92089	3737
961	92185	3641
962	92287	3545
963	92389	3450
964	92488	3354
965	92591	3258
966	92691	3163
967	92858	3069
968	92952	2973
969	93046	2877
970	93131	2781
971	93213	2685
972	93313	2589
973	93419	2493
974	93522	2398
975	93607	2301
976	93691	2205
977	93741	2108
978	93824	2012
979	94115	1920
980	94198	1824
981	94272	1728
982	94354	1631
983	94436	1535
984	94523	1439
985	94604	1343
986	94711	1247
987	94799	1151
988	94877	1055
989	94950	959
990	95023	862
991	95103	766
992	95248	671
993	95344	575
994	95429	479
995	95509	383
996	95586	287
997	95664	191
998	95746	95
999	95852	0
